SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,Industrials
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-DEC-2010,10,1,INE619I01012,10,Industrials
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,Industrials
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5,Industrials
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10,Industrials
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,Industrials
ABINFRA,A B Infrabuild Limited,BE,08-NOV-2024,10,1,INE00YB01017,10,Industrials
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1,1,INE648Z01023,1,Industrials
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,Industrials
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10,Industrials
ACLGATI,Allcargo Gati Limited,EQ,10-OCT-2006,2,1,INE152B01027,2,Industrials
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,Industrials
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10,Industrials
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2,Industrials
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10,Industrials
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10,Industrials
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10,Industrials
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,Industrials
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,Industrials
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1,Industrials
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,Industrials
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,Industrials
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,Industrials
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,Industrials
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,Industrials
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,Industrials
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,Industrials
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1,Industrials
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,Industrials
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,Industrials
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,Industrials
ARISINFRA,Arisinfra Solutions Limited,EQ,25-JUN-2025,2,1,INE0H9P01028,2,Industrials
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,Industrials
ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10,1,INE267I01010,10,Industrials
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,Industrials
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,Industrials
ASIANTILES,Asian Granito India Limited,BE,23-AUG-2007,10,1,INE022I01019,10,Industrials
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,Industrials
ATALREAL,Atal Realtech Limited,BE,12-MAY-2023,2,1,INE0ALR01029,2,Industrials
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10,Industrials
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2,Industrials
ATLANTAA,ATLANTAA LIMITED,EQ,25-SEP-2006,2,1,INE285H01022,2,Industrials
AVG,AVG Logistics Limited,EQ,12-MAY-2023,10,1,INE680Z01018,10,Industrials
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10,1,INE108V01019,10,Industrials
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5,Industrials
AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5,1,INE555B01013,5,Industrials
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,INE02IJ01035,2,Industrials
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,1,1,INE0O9T01021,1,Industrials
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10,Industrials
BALUFORGE,Balu Forge Industries Limited,BE,29-APR-2024,10,1,INE011E01029,10,Industrials
BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10,1,INE862Y01015,10,Industrials
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,5,1,INE464A01036,5,Industrials
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,5,1,INE171Z01026,5,Industrials
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2,Industrials
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1,Industrials
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10,Industrials
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5,Industrials
BGRENERGY,BGR Energy Systems Limited,BE,03-JAN-2008,10,1,INE661I01014,10,Industrials
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2,Industrials
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2,1,INE412U01025,2,Industrials
BIRLANU,BirlaNu Limited,EQ,26-APR-1995,10,1,INE557A01011,10,Industrials
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1,Industrials
BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1,Industrials
BLSE,BLS E-Services Limited,BE,06-FEB-2024,10,1,INE0NLT01010,10,Industrials
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10,Industrials
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2,Industrials
BLUSPRING,Bluspring Enterprises Limited,EQ,11-JUN-2025,10,1,INE0U4101014,10,Industrials
BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10,1,INE727S01012,10,Industrials
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10,Industrials
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1,Industrials
CCCL,Consolidated Construction Consortium Limited,EQ,15-OCT-2007,2,1,INE429I01024,2,Industrials
CEIGALL,Ceigall India Limited,EQ,08-AUG-2024,5,1,INE0AG901020,5,Industrials
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5,Industrials
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2,Industrials
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10,Industrials
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5,1,INE704P01025,5,Industrials
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5,Industrials
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10,Industrials
CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10,Industrials
CPCAP,CP Capital Limited,EQ,06-OCT-2010,10,1,INE521J01018,10,Industrials
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10,Industrials
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2,Industrials
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5,Industrials
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2,Industrials
DBEIL,Deepak Builders & Engineers India Limited,EQ,28-OCT-2024,10,1,INE0OPA01019,10,Industrials
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10,Industrials
DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10,Industrials
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2,Industrials
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2,1,INE0KL801015,2,Industrials
DEEDEV,DEE Development Engineers Limited,EQ,26-JUN-2024,10,1,INE841L01016,10,Industrials
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1,Industrials
DELTAMAGNT,Delta Manufacturing Limited,BE,18-OCT-1995,10,1,INE393A01011,10,Industrials
DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10,Industrials
DENTA,Denta Water and Infra Solutions Limited,EQ,29-JAN-2025,10,1,INE0R4L01018,10,Industrials
DHRUV,Dhruv Consultancy Services Limited,BE,25-NOV-2021,10,1,INE506Z01015,10,Industrials
DIACABS,Diamond Power Infrastructure Limited,EQ,15-SEP-2023,1,1,INE989C01038,1,Industrials
DIFFNKG,Diffusion Engineers Limited,EQ,04-OCT-2024,10,1,INE184O01015,10,Industrials
DIGITIDE,Digitide Solutions Limited,EQ,11-JUN-2025,10,1,INE0U4701011,10,Industrials
DIL,Debock Industries Limited,BE,31-MAR-2022,10,1,INE411Y01011,10,Industrials
DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10,1,INE0B1K01014,10,Industrials
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,10,1,INE321T01012,10,Industrials
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10,1,INE864X01013,10,Industrials
DREAMFOLKS,Dreamfolks Services Limited,BE,06-SEP-2022,2,1,INE0JS101016,2,Industrials
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10,Industrials
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1,1,INE741L01018,1,Industrials
DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,10,1,INE600Y01019,10,Industrials
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,04-SEP-2024,2,1,INE06HJ01020,2,Industrials
EIEL,Enviro Infra Engineers Limited,EQ,29-NOV-2024,10,1,INE0LLY01014,10,Industrials
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10,1,INE158B01016,10,Industrials
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2,Industrials
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,1,1,INE205B01031,1,Industrials
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1,Industrials
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1,Industrials
ELIN,Elin Electronics Limited,BE,30-DEC-2022,5,1,INE050401020,5,Industrials
EMSLIMITED,EMS Limited,EQ,21-SEP-2023,10,1,INE0OV601013,10,Industrials
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5,Industrials
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10,Industrials
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,Industrials
ESSARSHPNG,Essar Shipping Limited,BE,15-NOV-2011,10,1,INE122M01019,10,Industrials
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5,Industrials
EVERESTIND,Everest Industries Limited,BE,29-MAR-1995,10,1,INE295A01018,10,Industrials
EXCEL,Excel Realty N Infra Limited,BE,03-AUG-2009,1,1,INE688J01023,1,Industrials
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,10,1,INE777F01014,10,Industrials
EXXARO,Exxaro Tiles Limited,BE,16-AUG-2021,1,1,INE0GFE01026,1,Industrials
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2,Industrials
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2,Industrials
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,INE00Y201027,5,Industrials
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,10,1,INE0RE001014,10,Industrials
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5,Industrials
