SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,Technology
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,Technology
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10,Technology
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,Technology
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10,Technology
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5,Technology
AGSTRA,AGS Transact Technologies Limited,BE,31-JAN-2022,10,1,INE583L01014,10,Technology
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,Technology
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,Technology
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,Technology
ASMS,Bartronics India Limited,EQ,09-FEB-2023,1,1,INE855F01042,1,Technology
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,Technology
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,Technology
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2,1,INE0LCL01028,2,Technology
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,INE005B01027,2,Technology
BBOX,Black Box Limited,BE,22-JUL-2003,2,1,INE676A01027,2,Technology
BIRLACABLE,Birla Cable Limited,BE,06-DEC-1995,10,1,INE800A01015,10,Technology
BLACKBUCK,Zinka Logistics Solutions Limited,EQ,22-NOV-2024,1,1,INE0UIZ01018,1,Technology
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1,Technology
BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10,Technology
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2,Technology
