SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,Basic Materials
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,Basic Materials
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020,10,1,INE09EO01013,10,Basic Materials
ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10,Basic Materials
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,Basic Materials
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,Basic Materials
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,Basic Materials
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10,Basic Materials
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5,Basic Materials
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2,Basic Materials
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2,Basic Materials
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,Basic Materials
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,Basic Materials
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,Basic Materials
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,Basic Materials
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,Basic Materials
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,Basic Materials
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,Basic Materials
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,Basic Materials
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2,Basic Materials
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2,Basic Materials
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2,Basic Materials
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10,Basic Materials
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,Basic Materials
APCL,Anjani Portland Cement Limited,BE,10-APR-2017,10,1,INE071F01012,10,Basic Materials
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,Basic Materials
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,Basic Materials
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,Basic Materials
ARENTERP,Rajdarshan Industries Limited,BE,18-OCT-1995,10,1,INE610C01014,10,Basic Materials
ARFIN,Arfin India Limited,EQ,22-JUL-2025,1,1,INE784R01023,1,Basic Materials
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,Basic Materials
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10,Basic Materials
ASAHISONG,Asahi Songwon Colors Limited,BE,29-AUG-2011,10,1,INE228I01012,10,Basic Materials
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,Basic Materials
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10,Basic Materials
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,Basic Materials
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,Basic Materials
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10,Basic Materials
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,Basic Materials
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1,Basic Materials
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2,Basic Materials
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024,5,1,INE0B9K01025,5,Basic Materials
BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10,Basic Materials
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10,Basic Materials
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10,Basic Materials
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1,Basic Materials
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1,Basic Materials
BESTAGRO,Best Agrolife Limited,EQ,10-APR-2024,10,1,INE052T01013,10,Basic Materials
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,1,1,INE414D01027,1,Basic Materials
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5,Basic Materials
BHAGYANGR,Bhagyanagar India Limited,BE,17-MAY-2017,2,1,INE458B01036,2,Basic Materials
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10,Basic Materials
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10,1,INE316L01019,10,Basic Materials
BILVYAPAR,BIL VYAPAR LIMITED,BE,27-SEP-2006,10,1,INE071A01013,10,Basic Materials
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10,Basic Materials
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2,Basic Materials
BOHRAIND,Bohra Industries Limited,EQ,27-OCT-2022,10,1,INE802W01023,10,Basic Materials
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,1,1,INE032Z01020,1,Basic Materials
BVCL,Barak Valley Cements Limited,EQ,23-NOV-2007,10,1,INE139I01011,10,Basic Materials
CAMLINFINE,Camlin Fine Sciences Limited,BE,20-JAN-2015,1,1,INE052I01032,1,Basic Materials
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,INE281A01026,1,Basic Materials
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1,Basic Materials
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10,Basic Materials
CHEMBOND,Chembond Material Technologies Limited,BE,20-NOV-2019,5,1,INE995D01025,5,Basic Materials
CHEMBONDCH,Chembond Chemicals Limited,BE,23-JUL-2025,5,1,INE0TGX01019,5,Basic Materials
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10,Basic Materials
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10,Basic Materials
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5,Basic Materials
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1,Basic Materials
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1,Basic Materials
CUBEXTUB,Cubex Tubings Limited,BE,24-APR-1996,10,1,INE144D01012,10,Basic Materials
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2,Basic Materials
DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2,Basic Materials
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-JAN-2025,1,1,INE0HR601026,1,Basic Materials
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5,Basic Materials
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10,Basic Materials
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2,Basic Materials
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2,Basic Materials
DHARMAJ,Dharmaj Crop Guard Limited,BE,08-DEC-2022,10,1,INE00OQ01016,10,Basic Materials
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023,10,1,INE591D01014,10,Basic Materials
DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10,Basic Materials
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10,Basic Materials
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10,1,INE256H01015,10,Basic Materials
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1,Basic Materials
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10,Basic Materials
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025,2,1,INE236E01022,2,Basic Materials
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2,Basic Materials
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,10,1,INE071N01016,10,Basic Materials
EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1,1,INE217G01035,1,Basic Materials
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5,Basic Materials
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5,Basic Materials
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,Basic Materials
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10,Basic Materials
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2,Basic Materials
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5,Basic Materials
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1,Basic Materials
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10,Basic Materials
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10,Basic Materials
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10,Basic Materials
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1,Basic Materials
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1,Basic Materials
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10,Basic Materials
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10,Basic Materials
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10,Basic Materials
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2,Basic Materials
GODAVARIB,Godavari Biorefineries Limited,BE,30-OCT-2024,10,1,INE497S01012,10,Basic Materials
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2,Basic Materials
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,1,1,INE705X01026,1,Basic Materials
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,1,1,INE177H01039,1,Basic Materials
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,Basic Materials
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1,1,INE08ZM01014,1,Basic Materials
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1,Basic Materials
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10,1,INE291A01017,10,Basic Materials
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2,Basic Materials
GSLSU,Global Surfaces Limited,EQ,23-MAR-2023,10,1,INE0JSX01015,10,Basic Materials
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10,1,INE186A01019,10,Basic Materials
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2,1,INE635Q01029,2,Basic Materials
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1,1,INE255D01024,1,Basic Materials
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,INE00EV01017,10,Basic Materials
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10,1,INE578A01017,10,Basic Materials
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10,1,INE694N01015,10,Basic Materials
